[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 24ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 46ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 61ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 78ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 94ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 65ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 679ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 96ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 114ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 45ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 62ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 80ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 98ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 113ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 69ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 749ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 105ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 123ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 142ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 72ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 92ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 108ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 127ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 145ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 73ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 92ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 111ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 130ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 184ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 121ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 139ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 151ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 166ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 183ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 62ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 73ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 84ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 99ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 116ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 58ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 75ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 92ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 110ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 127ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 70ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 89ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 113ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 134ms
[2026-06-30 14:23:41] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 153ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 84ms
[2026-06-30 14:23:41] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 103ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 118ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 133ms
[2026-06-30 14:23:41] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 150ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 62ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 74ms
[2026-06-30 14:23:41] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 85ms
